"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2,C4,C5,C6,C8,C10,C12,C15,C16,C17,C18,C20,C22,C23,C24,C25";"C_0603";17;"0.1uF";;;
2;"C3,C9,C11,C19,C26";"C_0603";5;"0.01uF";;;
3;"C7,C13,C14,C21";"C_0805";4;"10uF";;;
4;"D1";"SMC_Standard";1;"S5G";;;
5;"D4";"SMB_Standard";1;"SMBJ10A";;;
6;"Q1,Q3,Q4,Q7";"SOT-23";4;"DTC114E";;;
7;"R1";"R_0603";1;"0";;;
8;"R2,R8,R9,R15";"R_0603";4;"10k";;;
9;"R3,R6,R7,R14";"R_0805";4;"680";;;
10;"R4,R12,R13,R17,R18,R19";"R_0603";6;"47k";;;
11;"R5,R10,R11,R16";"R_0603";4;"0.01";;;
12;"Q2,Q5,Q6,Q8";"SOT89-3_Housing";4;"PBSS5480X";;;
13;"P7";"Socket_Strip_Arduino_1x15";1;"Shield_Connector";;;
14;"D2,D3,D5,D6,D7,D8,D9,D10";"SOD-323";8;"BAS316";;;
15;"P1";"Socket_Strip_Arduino_1x15";1;"Digital";;;
16;"P2";"Socket_Strip_Arduino_1x15";1;"Analog";;;
17;"P3,P4,P5,P6";"1pin_Nano";4;"CONN_1";;;
18;"P12";"PINHEAD1-3";1;"ESC1_Connector";;;
19;"P8,P9,P11";"1pin-5.1mmx7mm";3;"CONN_1";;;
20;"P10";"1pin-5.1mm";1;"CONN_1";;;
